102 561
-0.780895 0.330555 0.498827
-0.762148 0.341947 0.498721
-0.765471 0.348494 0.498854
-0.740077 0.346793 0.498483
-0.734026 0.359035 0.498562
-0.7434 0.353339 0.498615
-0.874387 0.128124 0.497434
-0.868336 0.140367 0.497512
-0.87771 0.134671 0.497566
-0.858963 0.146063 0.497458
-0.862285 0.152609 0.497591
-0.836892 0.150908 0.497219
-0.830841 0.163151 0.497297
-0.840215 0.157455 0.497351
-0.821467 0.168847 0.497244
-0.82479 0.175394 0.497376
-0.818739 0.187636 0.497455
-0.828113 0.18194 0.497508
-0.797264 0.217818 0.497559
-0.800586 0.224365 0.497691
-0.806637 0.212122 0.497612
-0.724406 0.219261 0.496579
-0.718355 0.231503 0.496658
-0.727729 0.225807 0.496711
-0.708981 0.237199 0.496605
-0.712304 0.243746 0.496737
-0.686911 0.242045 0.496368
-0.68086 0.254288 0.496447
-0.690234 0.248591 0.4965
-0.82598 0.226066 0.498063
-0.819929 0.238309 0.498142
-0.829303 0.232613 0.498195
-0.810555 0.244005 0.498088
-0.813878 0.250552 0.49822
-0.788485 0.24885 0.497849
-0.782434 0.261093 0.497928
-0.791807 0.255397 0.497981
-0.77306 0.266789 0.497875
-0.776383 0.273336 0.498007
-0.770332 0.285579 0.498086
-0.779706 0.279883 0.498139
-0.748856 0.31576 0.498192
-0.752179 0.322307 0.498324
-0.75823 0.310064 0.498245
-0.750989 0.271635 0.497636
-0.744938 0.283877 0.497715
-0.754312 0.278181 0.497769
-0.735565 0.289573 0.497662
-0.738887 0.29612 0.497795
-0.713494 0.294419 0.497424
-0.707443 0.306661 0.497504
-0.716817 0.300965 0.497556
-0.922795 0.0301816 0.496808
-0.916744 0.0424244 0.496886
-0.926118 0.0367284 0.49694
-0.90737 0.0481204 0.496832
-0.910693 0.0546672 0.496964
-0.8853 0.0529658 0.496592
-0.879249 0.0652086 0.49667
-0.888622 0.0595125 0.496724
-0.869875 0.0709046 0.496616
-0.873198 0.0774513 0.496748
-0.867147 0.0896941 0.496826
-0.876521 0.0839981 0.49688
-0.845671 0.119876 0.496929
-0.848994 0.126422 0.497062
-0.855045 0.11418 0.496983
-0.847804 0.0757499 0.496376
-0.841753 0.0879927 0.496455
-0.851127 0.0822967 0.496508
-0.832379 0.0936888 0.496401
-0.835702 0.100236 0.496533
-0.810309 0.0985341 0.496162
-0.804258 0.110777 0.49624
-0.813632 0.105081 0.496294
-0.794884 0.116473 0.496187
-0.798207 0.12302 0.496319
-0.792156 0.135262 0.496398
-0.80153 0.129566 0.496451
-0.77068 0.165444 0.496502
-0.774003 0.171991 0.496634
-0.780054 0.159748 0.496555
-0.767952 0.184234 0.496713
-0.777326 0.178538 0.496766
-0.780649 0.185084 0.496898
-0.7867 0.172842 0.496819
-0.781244 0.210421 0.497241
-0.790618 0.204725 0.497294
-0.787295 0.198178 0.497162
-0.746477 0.214415 0.496817
-0.7498 0.220962 0.496949
-0.755851 0.208719 0.49687
-0.743749 0.233205 0.497028
-0.753122 0.227509 0.497082
-0.722273 0.263386 0.497134
-0.725596 0.269933 0.497266
-0.731647 0.25769 0.497187
-0.772814 0.121318 0.495948
-0.766763 0.133561 0.496027
-0.776137 0.127865 0.49608
-0.757389 0.139257 0.495974
-0.760712 0.145804 0.496106
-0.735318 0.144102 0.495735
-0.729267 0.156345 0.495814
-0.738641 0.150649 0.495867
-0.719894 0.162041 0.495761
-0.723216 0.168588 0.495893
-0.717166 0.180831 0.495972
-0.726539 0.175135 0.496025
-0.69569 0.211012 0.496077
-0.699013 0.217559 0.496209
-0.705064 0.205316 0.49613
-0.697823 0.166887 0.495523
-0.691772 0.179129 0.495602
-0.701146 0.173433 0.495655
-0.682398 0.184825 0.49555
-0.685721 0.191372 0.495682
-0.660328 0.189671 0.495312
-0.654277 0.201914 0.495392
-0.663651 0.196218 0.495444
-0.75942 0.360737 0.498933
-0.768793 0.355041 0.498986
-0.750046 0.366433 0.49888
-0.746723 0.359886 0.498747
-0.740672 0.372129 0.498827
-0.856235 0.164852 0.497669
-0.865608 0.159156 0.497723
-0.846861 0.170548 0.497615
-0.843538 0.164002 0.497483
-0.837487 0.176244 0.497562
-0.831436 0.188487 0.497641
-0.825385 0.20073 0.497719
-0.816011 0.206426 0.497666
-0.819334 0.212973 0.497798
-0.706253 0.255989 0.496816
-0.715627 0.250293 0.496869
-0.69688 0.261685 0.496764
-0.693557 0.255138 0.496632
-0.687506 0.267381 0.496711
-0.807827 0.262795 0.498299
-0.817201 0.257098 0.498353
-0.798453 0.268491 0.498246
-0.79513 0.261944 0.498114
-0.789079 0.274187 0.498193
-0.783029 0.286429 0.498272
-0.776978 0.298672 0.498351
-0.767604 0.304368 0.498298
-0.770927 0.310915 0.49843
-0.732837 0.308363 0.497874
-0.74221 0.302667 0.497927
-0.723463 0.314059 0.497821
-0.72014 0.307512 0.497689
-0.714089 0.319755 0.497768
-0.904642 0.06691 0.497042
-0.914016 0.0612139 0.497096
-0.895268 0.072606 0.496988
-0.891945 0.0660593 0.496856
-0.885894 0.078302 0.496934
-0.879843 0.0905448 0.497012
-0.873793 0.102788 0.497091
-0.864419 0.108484 0.497037
-0.867742 0.11503 0.497169
-0.829651 0.112478 0.496612
-0.839025 0.106782 0.496665
-0.820278 0.118174 0.496558
-0.816955 0.111628 0.496426
-0.810904 0.12387 0.496504
-0.804853 0.136113 0.496583
-0.798802 0.148356 0.496662
-0.789428 0.154052 0.496608
-0.792751 0.160599 0.49674
-0.796074 0.167145 0.496873
-0.799397 0.173692 0.497005
-0.793346 0.185935 0.497083
-0.80272 0.180239 0.497137
-0.756445 0.234055 0.497214
-0.762496 0.221813 0.497135
-0.750394 0.246298 0.497293
-0.741021 0.251994 0.49724
-0.744344 0.258541 0.497372
-0.754661 0.158047 0.496184
-0.764035 0.152351 0.496238
-0.745287 0.163743 0.496131
-0.741964 0.157196 0.495999
-0.735913 0.169439 0.496078
-0.729862 0.181682 0.496157
-0.723811 0.193924 0.496236
-0.714437 0.19962 0.496183
-0.71776 0.206167 0.496315
-0.67967 0.203615 0.495761
-0.689044 0.197919 0.495813
-0.670296 0.209311 0.495708
-0.666974 0.202764 0.495576
-0.660923 0.215007 0.495655
-0.783623 0.311766 0.498616
-0.792997 0.30607 0.498669
-0.77425 0.317462 0.498563
-0.764876 0.323158 0.498509
-0.755502 0.328854 0.498456
-0.758825 0.335401 0.498589
-0.752774 0.347643 0.498668
-0.746128 0.33455 0.498403
-0.736754 0.340246 0.49835
-0.733431 0.333699 0.498218
-0.72738 0.345942 0.498297
-0.880438 0.115881 0.497355
-0.889812 0.110185 0.497409
-0.871064 0.121577 0.497301
-0.861691 0.127273 0.497248
-0.852317 0.132969 0.497194
-0.85564 0.139516 0.497326
-0.849589 0.151759 0.497405
-0.842943 0.138665 0.49714
-0.833569 0.144361 0.497087
-0.830246 0.137815 0.496954
-0.824195 0.150057 0.497033
-0.818144 0.1623 0.497112
-0.812093 0.174543 0.49719
-0.806043 0.186786 0.497269
-0.799992 0.199028 0.497348
-0.809365 0.193332 0.497401
-0.812688 0.199879 0.497533
-0.793941 0.211271 0.497427
-0.78789 0.223514 0.497506
-0.778516 0.22921 0.497452
-0.781839 0.235757 0.497585
-0.730457 0.207018 0.4965
-0.739831 0.201322 0.496553
-0.721083 0.212714 0.496447
-0.711709 0.21841 0.496394
-0.702336 0.224106 0.496341
-0.705659 0.230653 0.496473
-0.699608 0.242895 0.496552
-0.692962 0.229802 0.496288
-0.683588 0.235498 0.496236
-0.680265 0.228951 0.496104
-0.674214 0.241194 0.496183
-0.832031 0.213823 0.497984
-0.841405 0.208127 0.498037
-0.822657 0.219519 0.49793
-0.813283 0.225215 0.497877
-0.803909 0.230912 0.497823
-0.807232 0.237458 0.497956
-0.801181 0.249701 0.498035
-0.794536 0.236608 0.49777
-0.785162 0.242304 0.497717
-0.775788 0.248 0.497664
-0.766414 0.253696 0.49761
-0.769737 0.260242 0.497743
-0.763686 0.272485 0.497822
-0.757635 0.284728 0.497901
-0.751584 0.296971 0.49798
-0.760958 0.291275 0.498033
-0.764281 0.297821 0.498165
-0.745533 0.309214 0.498059
-0.739482 0.321456 0.498139
-0.75704 0.259392 0.497557
-0.747666 0.265088 0.497504
-0.738293 0.270784 0.497451
-0.728919 0.27648 0.497398
-0.732242 0.283027 0.49753
-0.726191 0.295269 0.497609
-0.719545 0.282176 0.497345
-0.710171 0.287872 0.497292
-0.706848 0.281325 0.49716
-0.700797 0.293568 0.497239
-0.934897 0.00569604 0.496652
-0.928846 0.0179388 0.49673
-0.93822 0.0122428 0.496784
-0.919472 0.0236349 0.496676
-0.916149 0.0170881 0.496543
-0.910098 0.0293309 0.496621
-0.900724 0.035027 0.496567
-0.904047 0.0415737 0.4967
-0.897996 0.0538165 0.496778
-0.897401 0.0284802 0.496435
-0.89135 0.040723 0.496513
-0.881977 0.046419 0.496459
-0.878654 0.0398723 0.496327
-0.872603 0.0521151 0.496406
-0.863229 0.0578111 0.496352
-0.866552 0.0643579 0.496484
-0.860501 0.0766006 0.496562
-0.85445 0.0888434 0.49664
-0.848399 0.101086 0.496719
-0.857773 0.0953902 0.496773
-0.861096 0.101937 0.496905
-0.842348 0.113329 0.496797
-0.836297 0.125572 0.496876
-0.859906 0.0512644 0.49622
-0.853855 0.0635072 0.496298
-0.844481 0.0692032 0.496244
-0.841158 0.0626565 0.496112
-0.835108 0.0748992 0.496191
-0.825734 0.0805953 0.496137
-0.829057 0.087142 0.496269
-0.823006 0.0993848 0.496347
-0.822411 0.0740485 0.496005
-0.81636 0.0862913 0.496083
-0.806986 0.0919874 0.49603
-0.803663 0.0854406 0.495898
-0.797612 0.0976834 0.495976
-0.788238 0.103379 0.495923
-0.791561 0.109926 0.496055
-0.78551 0.122169 0.496134
-0.779459 0.134412 0.496212
-0.773408 0.146655 0.496291
-0.782782 0.140959 0.496344
-0.786105 0.147505 0.496476
-0.767358 0.158897 0.49637
-0.761307 0.17114 0.496448
-0.755256 0.183383 0.496527
-0.749205 0.195626 0.496606
-0.758579 0.18993 0.496659
-0.761901 0.196476 0.496791
-0.765224 0.203023 0.496924
-0.768547 0.20957 0.497056
-0.774598 0.197327 0.496977
-0.783972 0.191631 0.49703
-0.77187 0.216117 0.497188
-0.775193 0.222663 0.49732
-0.743154 0.207868 0.496685
-0.737103 0.220111 0.496764
-0.731052 0.232354 0.496843
-0.725001 0.244597 0.496922
-0.734375 0.238901 0.496975
-0.737698 0.245448 0.497107
-0.71895 0.25684 0.497002
-0.712899 0.269082 0.497081
-0.784915 0.0968327 0.495791
-0.778865 0.109075 0.49587
-0.769491 0.114772 0.495816
-0.766168 0.108225 0.495684
-0.760117 0.120468 0.495763
-0.750743 0.126164 0.49571
-0.754066 0.13271 0.495842
-0.748015 0.144953 0.495921
-0.74742 0.119617 0.495578
-0.741369 0.13186 0.495657
-0.731995 0.137556 0.495604
-0.728673 0.131009 0.495472
-0.722622 0.143252 0.495551
-0.713248 0.148948 0.495498
-0.716571 0.155495 0.495629
-0.71052 0.167737 0.495708
-0.704469 0.17998 0.495787
-0.698418 0.192223 0.495866
-0.707792 0.186527 0.495919
-0.711115 0.193074 0.496051
-0.692367 0.204466 0.495945
-0.686316 0.216708 0.496024
-0.709925 0.142401 0.495366
-0.703874 0.154644 0.495445
-0.6945 0.16034 0.495392
-0.691177 0.153793 0.49526
-0.685126 0.166036 0.495339
-0.675752 0.171732 0.495286
-0.679075 0.178279 0.495418
-0.673024 0.190521 0.495497
-0.67243 0.165185 0.495154
-0.666379 0.177428 0.495233
-0.657005 0.183124 0.495181
-0.653682 0.176577 0.495049
-0.647631 0.18882 0.495128
-0.750641 0.391769 0.498834
-0.521179 0.454046 0.505047
-0.54033 0.8 0.509283
-0.530754 0.627023 0.507149
-0.645485 0.595885 0.504038
-0.63591 0.422908 0.501932
-0.640698 0.509396 0.502981
-0.698063 0.493827 0.501431
-0.693275 0.407338 0.500381
-0.525967 0.540535 0.506094
-0.583332 0.524965 0.504536
-0.578544 0.438477 0.503488
-0.58812 0.611454 0.505591
-0.535542 0.713512 0.508212
-0.592908 0.697942 0.506655
-0.695669 0.450583 0.500905
-0.724352 0.442798 0.500131
-0.721958 0.399554 0.499607
-0.580938 0.481721 0.504011
-0.609621 0.473936 0.503233
-0.607227 0.430692 0.50271
-0.612015 0.517181 0.503758
-0.638304 0.466152 0.502456
-0.590514 0.654698 0.506122
-0.619197 0.646913 0.505345
-0.616803 0.603669 0.504814
-0.666986 0.458367 0.50168
-0.664593 0.415123 0.501156
-0.66938 0.501611 0.502205
-0.643091 0.55264 0.503509
-0.671774 0.544856 0.502733
-0.523573 0.49729 0.505569
-0.552256 0.489506 0.50479
-0.549862 0.446261 0.504267
-0.554649 0.53275 0.505314
-0.528361 0.583779 0.50662
-0.557043 0.575994 0.505841
-0.559437 0.619238 0.50637
-0.585726 0.56821 0.505062
-0.614409 0.560425 0.504285
-0.533148 0.670267 0.507679
-0.561831 0.662483 0.5069
-0.564225 0.705727 0.507433
-0.537936 0.756756 0.508746
-0.566619 0.748971 0.507968
-0.723155 0.421176 0.499869
-0.737496 0.417284 0.499482
-0.736299 0.395661 0.49922
-0.608424 0.452314 0.502971
-0.622765 0.448422 0.502582
-0.621568 0.4268 0.502321
-0.623962 0.470044 0.502844
-0.637107 0.44453 0.502194
-0.618 0.625291 0.505079
-0.632341 0.621399 0.504691
-0.631144 0.599777 0.504426
-0.665789 0.436745 0.501418
-0.680131 0.432853 0.50103
-0.678934 0.411231 0.500769
-0.681328 0.454475 0.501292
-0.694472 0.42896 0.500643
-0.670577 0.523234 0.502469
-0.684919 0.519341 0.502082
-0.683722 0.497719 0.501818
-0.551059 0.467884 0.504528
-0.5654 0.463991 0.504138
-0.564203 0.442369 0.503877
-0.566597 0.485613 0.5044
-0.579741 0.460099 0.503749
-0.555846 0.554372 0.505577
-0.570188 0.55048 0.505188
-0.568991 0.528858 0.504925
-0.571385 0.572102 0.505452
-0.584529 0.546587 0.504799
-0.59887 0.542695 0.50441
-0.597674 0.521073 0.504147
-0.62875 0.556533 0.503897
-0.641895 0.531018 0.503245
-0.627553 0.53491 0.503633
-0.560634 0.640861 0.506635
-0.574975 0.636968 0.506246
-0.573779 0.615346 0.50598
-0.576172 0.65859 0.506511
-0.589317 0.633076 0.505857
-0.565422 0.727349 0.5077
-0.579763 0.723457 0.507311
-0.578566 0.701835 0.507044
-0.708814 0.425068 0.500256
-0.707617 0.403446 0.499994
-0.71001 0.44669 0.500518
-0.696866 0.472205 0.501168
-0.711207 0.468312 0.500781
-0.594083 0.456207 0.50336
-0.592886 0.434584 0.503099
-0.59528 0.477829 0.503622
-0.582135 0.503343 0.504273
-0.596477 0.499451 0.503884
-0.610818 0.495559 0.503495
-0.625159 0.491666 0.503107
-0.626356 0.513288 0.503369
-0.639501 0.487774 0.502718
-0.603658 0.629184 0.505468
-0.602461 0.607561 0.505203
-0.604855 0.650806 0.505734
-0.591711 0.67632 0.506389
-0.606052 0.672428 0.506
-0.651448 0.440637 0.501806
-0.650251 0.419015 0.501544
-0.652645 0.46226 0.502068
-0.653842 0.483882 0.50233
-0.655039 0.505504 0.502593
-0.668183 0.479989 0.501942
-0.682525 0.476097 0.501555
-0.656236 0.527126 0.502857
-0.657433 0.548748 0.503121
-0.644288 0.574262 0.503773
-0.65863 0.57037 0.503385
-0.522376 0.475668 0.505308
-0.536717 0.471776 0.504918
-0.53552 0.450154 0.504657
-0.537914 0.493398 0.505179
-0.52477 0.518912 0.505831
-0.539111 0.51502 0.505441
-0.540308 0.536642 0.505704
-0.553452 0.511128 0.505052
-0.567794 0.507235 0.504662
-0.527164 0.562157 0.506357
-0.541505 0.558264 0.505967
-0.542702 0.579886 0.506231
-0.529558 0.605401 0.506884
-0.543899 0.601509 0.506495
-0.545096 0.623131 0.506759
-0.55824 0.597616 0.506105
-0.572582 0.593724 0.505716
-0.586923 0.589832 0.505327
-0.601264 0.585939 0.504938
-0.600067 0.564317 0.504674
-0.613212 0.538803 0.504021
-0.615606 0.582047 0.504549
-0.629947 0.578155 0.504161
-0.531951 0.648645 0.507414
-0.546293 0.644753 0.507024
-0.54749 0.666375 0.50729
-0.534345 0.691889 0.507945
-0.548687 0.687997 0.507556
-0.549884 0.709619 0.507822
-0.563028 0.684105 0.507166
-0.577369 0.680212 0.506777
-0.536739 0.735134 0.508479
-0.551081 0.731241 0.508089
-0.552277 0.752863 0.508357
-0.539133 0.778378 0.509014
-0.553474 0.774486 0.508625
-0.736898 0.406472 0.499351
-0.744068 0.404526 0.499158
-0.74347 0.393715 0.499027
-0.622167 0.437611 0.502452
-0.629338 0.435665 0.502257
-0.628739 0.424854 0.502127
-0.629936 0.446476 0.502388
-0.636508 0.433719 0.502063
-0.631742 0.610588 0.504558
-0.638913 0.608642 0.504364
-0.638315 0.597831 0.504232
-0.679532 0.422042 0.500899
-0.686703 0.420096 0.500706
-0.686105 0.409284 0.500575
-0.687302 0.430907 0.500836
-0.693874 0.418149 0.500512
-0.68432 0.50853 0.50195
-0.691491 0.506584 0.501756
-0.690892 0.495773 0.501624
-0.564801 0.45318 0.504008
-0.571972 0.451234 0.503813
-0.571374 0.440423 0.503682
-0.572571 0.462045 0.503944
-0.579143 0.449288 0.503618
-0.569589 0.539669 0.505056
-0.57676 0.537722 0.504862
-0.576161 0.526911 0.50473
-0.577358 0.548534 0.504993
-0.583931 0.535776 0.504667
-0.591101 0.53383 0.504473
-0.590503 0.523019 0.504341
-0.634724 0.532964 0.503439
-0.641296 0.520207 0.503113
-0.634125 0.522153 0.503307
-0.574377 0.626157 0.506113
-0.581548 0.624211 0.505918
-0.580949 0.6134 0.505786
-0.582146 0.635022 0.506051
-0.588718 0.622265 0.505724
-0.579165 0.712646 0.507178
-0.586335 0.710699 0.506983
-0.585737 0.699888 0.50685
-0.708215 0.414257 0.500125
